filename,width,height,class,xmin,ymin,xmax,ymax
14.jpg,2679,1506,banana,19,173,2679,1221
15.jpg,475,357,banana,132,67,387,300
15.jpg,475,357,banana,11,49,295,191
15.jpg,475,357,banana,74,70,319,239
16.jpg,800,533,banana,453,286,611,474
16.jpg,800,533,banana,575,151,695,249
16.jpg,800,533,banana,177,432,301,489
16.jpg,800,533,banana,385,199,501,344
16.jpg,800,533,banana,634,164,799,306
17.jpg,1192,792,banana,109,157,834,483
17.jpg,1192,792,banana,142,266,1035,792
18.jpg,550,309,banana,195,35,476,166
18.jpg,550,309,banana,347,63,550,300
18.jpg,550,309,banana,147,145,263,224
19.jpg,299,168,banana,30,4,267,163
20.jpg,284,177,banana,95,31,259,131
20.jpg,284,177,banana,72,37,209,177
20.jpg,284,177,banana,43,34,92,177
21.jpg,628,418,banana,92,65,401,247
21.jpg,628,418,banana,419,112,587,195
21.jpg,628,418,banana,24,145,572,368
22.jpg,567,374,banana,7,1,567,138
22.jpg,567,374,banana,43,123,529,272
22.jpg,567,374,banana,37,225,538,374
23.jpg,700,560,banana,185,211,247,312
23.jpg,700,560,banana,226,235,279,335
23.jpg,700,560,banana,94,242,188,377
23.jpg,700,560,banana,147,306,214,410
23.jpg,700,560,banana,191,328,268,433
23.jpg,700,560,banana,261,304,318,410
24.jpg,350,235,banana,127,6,301,209
24.jpg,350,235,banana,1,8,168,133
25.jpg,800,600,banana,490,213,568,262
25.jpg,800,600,banana,555,204,613,256
25.jpg,800,600,banana,612,220,665,276
25.jpg,800,600,banana,519,258,614,307
25.jpg,800,600,banana,609,286,655,333
25.jpg,800,600,banana,638,273,683,316
25.jpg,800,600,banana,146,391,314,462
25.jpg,800,600,banana,106,430,288,497
25.jpg,800,600,banana,58,467,193,551
26.jpg,510,510,banana,69,71,420,115
26.jpg,510,510,banana,139,115,383,155
26.jpg,510,510,banana,311,146,489,263
26.jpg,510,510,banana,78,153,350,237
26.jpg,510,510,banana,32,235,328,452
26.jpg,510,510,banana,350,249,461,363
27.jpg,805,450,banana,607,213,727,291
27.jpg,805,450,banana,639,264,742,320
27.jpg,805,450,banana,739,291,800,368
28.jpg,1000,653,banana,386,133,484,337
28.jpg,1000,653,banana,69,144,388,494
28.jpg,1000,653,banana,128,147,307,301
28.jpg,1000,653,banana,3,337,126,436
29.jpg,621,414,banana,157,170,278,210
29.jpg,621,414,banana,138,134,264,192
30.jpg,750,500,banana,344,458,392,496
30.jpg,750,500,banana,388,458,427,495
30.jpg,750,500,banana,425,420,542,500
30.jpg,750,500,banana,449,223,578,311
30.jpg,750,500,banana,511,207,638,274
30.jpg,750,500,banana,523,284,600,371
31.jpg,650,465,banana,233,37,612,184
31.jpg,650,465,banana,166,127,633,295
31.jpg,650,465,banana,4,148,373,430
31.jpg,650,465,banana,365,301,562,391
31.jpg,650,465,banana,217,430,373,465
32.jpg,673,449,banana,92,105,260,439
32.jpg,673,449,banana,21,1,449,192
32.jpg,673,449,banana,171,71,413,202
32.jpg,673,449,banana,17,220,111,349
33.jpg,299,168,banana,166,51,264,124
33.jpg,299,168,banana,179,81,275,161
33.jpg,299,168,banana,164,8,223,105
33.jpg,299,168,banana,108,1,161,104
33.jpg,299,168,banana,62,21,126,106
33.jpg,299,168,banana,22,63,113,131
33.jpg,299,168,banana,5,118,123,165
